Time,BS_ID,BS_STATUS,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_MID,UE_LOC_X,UE_LOC_Y,MAX_DR (bits),DEMAND_DR (bits),REAL_DR (bits),BS_Trans_PWR (W),UE_Rec_PWR (W),RSRP (dBm),RSSI (dBm),RSRQ (dB),DDR (%), SNR, AVTH, RET, DIST, DIST95
9,0,3,0,0,0,0,7,0.25,0.03096,56.17,92,0,7.55846,-4.05516,119,92,92,6.84375e-13,5.70312e-13,-92.4389,-61.6471,-10.7918,0,-3.66736,0.87,1,8.57756,1
9,0,3,0,0,0,0,6,0.25,-0.03096,55.15,93,1,2.99624,-2.47168,158,105,105,5.42246e-12,4.51872e-12,-83.4498,-52.658,-10.7918,0,5.32167,0.99,1,3.88415,0
9,0,3,0,0,0,0,5,0.25,0.02322,52.46,94,1,4.26735,-3.85336,143,50,50,2.00891e-12,1.67409e-12,-87.7622,-56.9704,-10.7918,0,1.00931,0.6,1,5.74967,1
9,0,3,0,0,0,0,4,0.25,-0.02322,38.88,95,1,6.75964,0.527866,134,92,92,1.27517e-12,1.06264e-12,-89.7361,-58.9443,-10.7918,0,-0.964626,0.87,1,6.78022,1
9,0,3,0,0,0,0,3,0.25,0.01548,58.59,96,0,1.0935,-0.494217,160,133,133,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.87,1,1.2,0
9,0,3,0,0,0,0,2,0.25,-0.01548,36.69,97,2,1.7176,-0.313495,160,160,157,1.69267e-11,1.41056e-11,-78.5061,-47.7143,-10.7918,1.875,10.2654,0.46,1,1.74598,0
9,0,3,0,0,0,0,1,0.25,0.00774,51.69,98,2,2.4075,0.514465,160,128,128,1.2027e-11,1.00225e-11,-79.9902,-49.1984,-10.7918,0,8.78128,0.02,1,2.46186,0
9,0,3,0,0,0,0,0,0.25,-0.00774,43.39,99,0,2.35979,-1.49626,160,111,111,1.00653e-11,8.38776e-12,-80.7635,-49.9717,-10.7918,0,8.00797,0.73,1,2.79417,0
9,0,3,0,0,1,120,99,-0.460152,0.0230063,42.13,100,1,-0.541091,6.90476,132,31,31,1.203e-12,1.0025e-12,-89.9892,-59.1974,-10.7918,0,-1.21765,0.04,1,6.92593,1
9,0,3,0,0,1,120,98,0.210152,0.410006,53.94,101,0,-1.68842,1.66068,160,46,46,1.26229e-11,1.05191e-11,-79.7802,-48.9884,-10.7918,0,8.9913,0.98,1,2.36825,0
